condition,condition_label,runs,accuracy_A_mean,accuracy_A_sd,accuracy_B_mean,accuracy_B_sd,balanced_accuracy_mean,balanced_accuracy_sd,routing_specialization_mean,routing_specialization_sd,causal_specialization_mean,causal_specialization_sd,router_entropy_proxy_mean,router_entropy_proxy_sd
INTERLEAVED,Interleaved,20,0.9880779951810836,0.000727191037182039,0.9879299998283386,0.0007480062542172026,0.9880039975047111,0.0005072776585064274,0.44590269923210146,0.2763251860791304,0.24710749909281732,0.1429928442740596,0.5432820498943329,0.13059236005296634
BLOCKED_AB,Blocked A→B,20,0.989119005203247,0.00039781372627662305,0.9881109982728958,0.0006405436095134394,0.9886150017380715,0.00044159350190515253,0.6785586230456829,0.20324936794178583,0.4238149970769882,0.09738301577023456,0.40628639087080953,0.11944405061768111
BLOCKED_BA,Blocked B→A,20,0.9880969971418381,0.0008033759874375933,0.9886889934539795,0.0008065675128724984,0.9883929952979088,0.0007258663221293771,0.5985908515751361,0.2978276886747764,0.3681019961833954,0.1587692710130955,0.4365125149488449,0.16704666713159266
