condition,n,accuracy_A_mean,accuracy_A_sd,accuracy_B_mean,accuracy_B_sd,balanced_accuracy_mean,balanced_accuracy_sd,routing_specialization_mean,routing_specialization_sd,router_entropy_mean,router_entropy_sd,causal_specialization_renormalized_mean,causal_specialization_renormalized_sd,causal_specialization_non_renormalized_mean,causal_specialization_non_renormalized_sd,router_collapse_count,router_collapse_rate
INTERLEAVED,20,0.9881179958581925,0.0007119373756344249,0.9880650073289872,0.0007826206007940801,0.9880915015935898,0.0005452371247762986,0.5653493501245975,0.17945039428919532,0.476542991399765,0.08861943064766113,0.2987169988453388,0.08831841723852069,0.2814469993114471,0.0765758951742554,0,0.0
BLOCKED_AB,20,0.989138999581337,0.0006175867239738294,0.988425001502037,0.0007174787420907762,0.988782000541687,0.0005348564136547473,0.641605856269598,0.2470317154000074,0.4044127058237791,0.13012294166637445,0.3898124970495701,0.1318132358195401,0.3159364923834801,0.09216680465354314,0,0.0
BLOCKED_BA,20,0.9886669993400574,0.000485850326067218,0.9893619984388351,0.0005349138667552353,0.9890144988894463,0.0003420444273838036,0.7470204383134842,0.11632284169450795,0.356667597964406,0.07747335077942759,0.45391799658536913,0.06661098096051729,0.3607709988951683,0.043806551692694706,0,0.0
