experiment,condition,n,accuracy_A_mean,accuracy_A_sd,accuracy_A_min,accuracy_B_mean,accuracy_B_sd,accuracy_B_min,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_min,blocked_minus_interleaved_accuracy_A,blocked_minus_interleaved_accuracy_B,blocked_minus_interleaved_balanced_accuracy
Pilot 1,INTERLEAVED,20,0.9880779951810836,0.0007271910371820391,0.9861599802970886,0.9879299998283386,0.0007480062542172026,0.9861000180244446,0.9880039975047111,0.0005072776585064275,0.986840009689331,0.000530005991458915,0.00046999603509911836,0.0005000010132790722
Pilot 1,BLOCKED_AB,20,0.989119005203247,0.0003978137262766231,0.98853999376297,0.9881109982728958,0.0006405436095134394,0.9864199757575989,0.9886150017380715,0.00044159350190515253,0.9874899983406067,,,
Pilot 1,BLOCKED_BA,20,0.9880969971418381,0.0008033759874375933,0.9869599938392639,0.9886889934539795,0.0008065675128724983,0.9868599772453308,0.9883929952979088,0.0007258663221293771,0.9871599972248077,,,
Replication 1,INTERLEAVED,20,0.9881179958581925,0.0007119373756344249,0.9868800044059753,0.9880650073289872,0.0007826206007940801,0.9869800209999084,0.9880915015935898,0.0005452371247762986,0.987060010433197,0.0007850036025047746,0.000828492641448908,0.0008067481219767858
Replication 1,BLOCKED_AB,20,0.989138999581337,0.0006175867239738294,0.9878600239753723,0.988425001502037,0.0007174787420907762,0.9871199727058411,0.988782000541687,0.0005348564136547473,0.9878300130367279,,,
Replication 1,BLOCKED_BA,20,0.9886669993400574,0.000485850326067218,0.9877200126647949,0.9893619984388351,0.0005349138667552353,0.9883800148963928,0.9890144988894463,0.0003420444273838036,0.9884200096130371,,,
